"id","question_text","company","date","interview_id"
"q1","расскажи как попал фронтэнд","Сошиал Системс","2025-02-04","interview_Сошиал_Системс_000"
"q2","про все компании","Сошиал Системс","2025-02-04","interview_Сошиал_Системс_000"
"q3","почему уходил","Сошиал Системс","2025-02-04","interview_Сошиал_Системс_000"
"q4","Работал ли с next js, ssr в целом. В чем преимущество ssr, когда использовать","Сошиал Системс","2025-02-04","interview_Сошиал_Системс_000"
"q5","как была выстроена коммуникация с бекэндом на проекте","Сошиал Системс","2025-02-04","interview_Сошиал_Системс_000"
"q6","какой состав команды был","Сошиал Системс","2025-02-04","interview_Сошиал_Системс_000"
