"id","question_text","company","date","interview_id"
"q1","Что будет, когда вводим в браузере url и нажимаем Enter?","Катюшапринт","2025-01-31","interview_Катюшапринт_000"
"q2","Рассказать какие знаю Utility types","Катюшапринт","2025-01-31","interview_Катюшапринт_000"
"q3","Написать свой Readonly тип, который делает все свойства типа доступными только для чтения","Катюшапринт","2025-01-31","interview_Катюшапринт_000"
"q4","Написать тип, который проходит по всем ключам enum Animals и проверяет есть ли такой тип","Катюшапринт","2025-01-31","interview_Катюшапринт_000"
"q5","Дана древовидная структура, нужно вывести все элементы вложенности с отступом для каждого уровня вложенности больше чем у родительского","Катюшапринт","2025-01-31","interview_Катюшапринт_000"
"q6","Сделать функцию, которая преобразует вложенный объект в плоский объект с ключами в формате 'a.b.c' и соответствующими значениями","Катюшапринт","2025-01-31","interview_Катюшапринт_000"
