"id","question_text","company","date","interview_id"
"q1","Как реализовывал UI виджеты в Three.js","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q2","Three.js","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q3","Как делала анимацию в Three.js","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q4","Как создать шар в Three.js","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q5","Как создать камеру в Three.js","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q6","Как направить камеру на шар в Three.js","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q7","Тонкости в системе координат в браузере","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q8","WebGL","Топ Системы","2025-01-11","interview_Топ_Системы_000"
"q9","ООП","Топ Системы","2025-01-11","interview_Топ_Системы_000"
