"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт","Caltat","2024-11-12","interview_Caltat_000"
"q2","Как была устроена авторизация","Caltat","2024-11-12","interview_Caltat_000"
"q3","flex vs grid","Caltat","2024-11-12","interview_Caltat_000"
"q4","var let const","Caltat","2024-11-12","interview_Caltat_000"
"q5","=== и ==","Caltat","2024-11-12","interview_Caltat_000"
"q6","Как сравнить объекты","Caltat","2024-11-12","interview_Caltat_000"
"q7","Хуки","Caltat","2024-11-12","interview_Caltat_000"
